City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
148,Kindia,GN,2020-02-23 05:22:19,10.06,-12.87,67.12,72,20,1.34
149,Olafsvik,IS,2020-02-23 05:22:19,64.89,-23.71,31.26,64,93,20.83
150,Ullal,IN,2020-02-23 05:22:19,12.8,74.85,84.2,51,100,8.05
151,Falesti,MD,2020-02-23 05:22:19,47.57,27.71,37.0,80,100,5.82
152,Ostrovnoy,RU,2020-02-23 05:22:19,68.05,39.51,30.13,91,100,23.17
153,Muktsar,IN,2020-02-23 05:22:20,30.48,74.52,77.31,34,0,5.39
154,Kosh-Agach,RU,2020-02-23 05:22:20,50.0,88.67,20.21,80,94,1.63
155,Tselinnoye,RU,2020-02-23 05:22:20,53.08,85.67,18.61,93,68,7.54
156,Korla,CN,2020-02-23 05:22:21,41.76,86.15,46.99,50,35,4.0
157,Ribeira Grande,PT,2020-02-23 05:22:21,38.52,-28.7,53.46,82,4,9.78
158,Marystown,CA,2020-02-23 05:22:21,47.17,-55.15,30.15,93,94,21.14
159,Santa Fe,AR,2020-02-23 05:22:21,-31.63,-60.7,66.0,76,0,5.5
160,Bisho,ZA,2020-02-23 05:22:21,-32.85,27.44,60.8,77,98,12.75
161,Bealanana,MG,2020-02-23 05:22:22,-14.55,48.73,75.4,79,99,2.13
162,Hamilton,US,2020-02-23 05:22:13,39.18,-84.53,37.4,79,1,4.94
163,Boysun,UZ,2020-02-23 05:22:22,38.21,67.2,59.97,33,83,1.34
164,Monrovia,LR,2020-02-23 05:22:23,6.3,-10.8,77.0,94,40,3.36
165,San Carlos De Bariloche,AR,2020-02-23 05:22:23,-41.15,-71.31,51.8,53,0,5.82
166,Kassala,SD,2020-02-23 05:22:23,15.45,36.4,68.65,62,0,7.11
167,Westport,US,2020-02-23 05:22:23,41.14,-73.36,39.0,55,1,8.08
168,Ushtobe,KZ,2020-02-23 05:22:24,45.25,77.98,36.1,81,100,12.06
169,Delta Del Tigre,UY,2020-02-23 05:22:24,-34.76,-56.39,53.6,81,0,9.62
170,Quatre Cocos,MU,2020-02-23 05:22:24,-20.21,57.76,82.0,88,75,7.0
171,Fuquay-Varina,US,2020-02-23 05:22:24,35.58,-78.8,35.01,100,1,4.16
172,Lethem,GY,2020-02-23 05:22:24,3.38,-59.8,80.73,53,58,11.68
173,Malindi,KE,2020-02-23 05:22:25,-3.22,40.12,83.52,71,60,8.28
174,Mbanza-Ngungu,CD,2020-02-23 05:22:25,-5.25,14.87,72.0,96,100,2.66
175,Bara,NG,2020-02-23 05:22:25,10.37,10.73,66.42,21,0,8.9
176,Hofn,IS,2020-02-23 05:22:25,64.25,-15.21,33.8,94,100,9.24
177,Kaka,TM,2020-02-23 05:22:26,37.35,59.61,53.35,63,43,5.7
178,Sechura,PE,2020-02-23 05:22:26,-5.56,-80.82,75.25,81,100,6.85
179,Namibe,AO,2020-02-23 05:22:26,-15.2,12.15,75.02,77,76,11.77
180,Impfondo,CG,2020-02-23 05:22:26,1.64,18.07,76.95,77,62,3.74
181,Mitu,CO,2020-02-23 05:22:27,1.2,-70.17,74.39,97,70,1.9
182,Kudahuvadhoo,MV,2020-02-23 05:21:05,2.67,72.89,83.52,81,82,19.84
183,Sohag,EG,2020-02-23 05:22:27,26.56,31.69,46.4,61,92,9.17
184,Acari,PE,2020-02-23 05:22:27,-15.43,-74.62,67.33,85,99,2.39
185,Itigi,TZ,2020-02-23 05:22:27,-5.7,34.48,68.52,90,91,4.41
186,At-Bashi,KG,2020-02-23 05:22:28,41.17,75.81,17.35,75,4,1.12
187,Tazovskiy,RU,2020-02-23 05:22:28,67.47,78.7,22.69,91,100,19.28
188,Ginda,IN,2020-02-23 05:22:28,30.69,78.49,62.13,34,0,4.59
189,Aasiaat,GL,2020-02-23 05:22:28,68.71,-52.87,-10.44,85,66,7.14
190,Hilton Head Island,US,2020-02-23 05:19:04,32.22,-80.75,39.99,93,1,7.99
191,Cascais,PT,2020-02-23 05:22:29,38.7,-9.42,61.0,71,61,2.24
192,Resen,MK,2020-02-23 05:22:29,41.09,21.01,24.8,79,40,6.93
193,Takoradi,GH,2020-02-23 05:22:29,4.88,-1.76,77.4,96,48,2.37
194,Andra,RU,2020-02-23 05:22:29,62.51,65.89,22.68,93,60,9.28
195,Depalpur,IN,2020-02-23 05:22:30,22.85,75.55,73.4,56,0,5.82
196,Yumbe,UG,2020-02-23 05:22:30,3.47,31.25,84.54,49,56,0.2
197,Guatire,VE,2020-02-23 05:22:30,10.48,-66.54,68.0,97,74,2.24
198,Praia,CV,2020-02-23 05:22:30,14.92,-23.51,69.8,73,100,11.41
199,Porto Velho,BR,2020-02-23 05:18:39,-8.76,-63.9,77.0,94,90,2.24
200,Clarence Town,AU,2020-02-23 05:22:31,-32.58,151.78,79.0,50,100,10.29
201,Vawkavysk,BY,2020-02-23 05:22:31,53.16,24.45,39.2,74,75,24.61
202,Ongandjera,NA,2020-02-23 05:22:31,-17.88,15.07,74.01,47,100,4.07
203,Tsabong,BW,2020-02-23 05:22:31,-26.02,22.4,74.71,69,89,3.96
204,Eydhafushi,MV,2020-02-23 05:22:31,5.1,73.07,83.35,79,100,22.64
205,Santa Lucia,ES,2020-02-23 05:22:32,27.91,-15.54,75.2,33,55,9.17
206,Terra Santa,BR,2020-02-23 05:22:32,-2.1,-56.49,73.99,96,100,1.16
207,Kovernino,RU,2020-02-23 05:22:32,57.13,43.81,31.26,84,100,18.48
208,Husavik,IS,2020-02-23 05:22:32,66.04,-17.34,21.78,67,100,7.87
209,Ponta Do Sol,PT,2020-02-23 05:22:33,32.67,-17.1,64.99,68,20,19.46
210,Nantucket,US,2020-02-23 05:19:04,41.28,-70.1,35.6,80,1,8.05
211,Salalah,OM,2020-02-23 05:22:33,17.02,54.09,75.2,69,40,2.24
212,Safaga,EG,2020-02-23 05:22:33,26.73,33.94,55.4,47,57,5.82
213,Dakar,SN,2020-02-23 05:22:33,14.69,-17.44,69.8,94,40,16.11
214,Kabare,CD,2020-02-23 05:22:34,-2.47,28.82,65.89,89,100,1.57
